id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
179,MT1045,Terap,Artocarpus elasticus,Pohon Muda,icon/young_tree.svg,-,37,16,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6751041,101.4283753,40.61623906,1.65,Belum,-,-,-,8/27/2021 7:38,"50,000.00","1,244.92",-,Krisnawati et al. (2012),media/1630050010858.jpg,media/1630050000463.jpg,media/1630049988378.jpg,media/1630049952320.jpg,adopsipohonriau/179
180,MT1046,Tempunik,Artocarpus rigidus,Pohon Dewasa,icon/mature_tree.svg,-,44,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6750357,101.4282381,75.94646366,1.64,Belum,-,-,-,8/27/2021 8:40,"200,000.00","2,187.34",-,Krisnawati et al. (2012),media/1630050091177.jpg,media/1630050137008.jpg,media/1630050127638.jpg,media/1630050079239.jpg,adopsipohonriau/180
181,MT1047,Parak,Aglaia sp.,Pohon Muda,icon/young_tree.svg,-,30,16,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6750021,101.4283428,37.77425428,1.64,Belum,-,-,-,8/27/2021 9:42,"50,000.00","1,477.31",-,Krisnawati et al. (2012),media/1630050198044.jpg,media/1630050246482.jpg,media/1630050236950.jpg,media/1630050179396.jpg,adopsipohonriau/181
182,MT1048,Jelutung Pipit,Kibatalia maingayi,Pohon Dewasa,icon/mature_tree.svg,-,46,21,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6749854,101.4283724,45.77906483,1.62,Belum,-,-,-,8/27/2021 10:44,"200,000.00","2,592.91",-,Krisnawati et al. (2012),media/1630050335724.jpg,media/1630050390832.jpg,media/1630050378246.jpg,media/1630050320230.jpg,adopsipohonriau/182
183,MT1049,Balam Putih,Madhuca ovata ,Pohon Muda,icon/young_tree.svg,-,32,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6749468,101.4282459,39.71305565,1.62,Belum,-,-,-,8/27/2021 11:48,"50,000.00","1,376.44",-,Krisnawati et al. (2012),media/1630050508807.jpg,media/1630050695703.jpg,media/1630050686641.jpg,media/1630050673792.jpg,adopsipohonriau/183
184,MT1050,Parak,Aglaia sp.,Pohon Muda,icon/young_tree.svg,-,30,17,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6750007,101.4283511,47.06245473,1.62,Belum,-,-,-,8/27/2021 12:53,"50,000.00","1,567.36",-,Krisnawati et al. (2012),media/1630050804365.jpg,media/1630050860498.jpg,media/1630050851433.jpg,media/1630050817943.jpg,adopsipohonriau/184
185,MT1051,Bangkinang Gunung,-,Pohon Dewasa,icon/mature_tree.svg,-,40,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6749667,101.4281096,10.43081482,1.61,Belum,-,-,-,8/27/2021 1:55,"200,000.00","2,298.60",-,Brown (1997),media/1630050949554.jpg,media/1630051011072.jpg,media/1630050996395.jpg,media/1630050958355.jpg,adopsipohonriau/185
186,MT1052,Terap,Artocarpus elasticus,Pohon Muda,icon/young_tree.svg,-,32,20,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6749361,101.4281083,-,1.62,Belum,-,-,-,8/27/2021 2:57,"50,000.00","1,165.87",-,Krisnawati et al. (2012),media/1630051057700.jpg,media/1630051126965.jpg,media/1630051116786.jpg,media/1630051066529.jpg,adopsipohonriau/186
187,MT1053,Cempedak Air,Artocarpus teysmanii ,Pohon Muda,icon/young_tree.svg,-,39,19,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.675066,101.428114,33.09138717,1.61,Belum,-,-,-,8/27/2021 3:59,"50,000.00","2,155.98",-,Brown (1997),media/1630051188643.jpg,media/1630051231418.jpg,media/1630051219357.jpg,media/1630051210237.jpg,adopsipohonriau/187
188,MT1054,Medang,Litsea angulata,Pohon Muda,icon/young_tree.svg,-,30,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6751016,101.4282402,33.06495726,0,Belum,-,-,-,8/27/2021 5:01,"50,000.00","1,014.94",-,Krisnawati et al. (2012),media/1630051316627.jpg,media/1630051353695.jpg,media/1630051344391.jpg,media/1630051299677.jpg,adopsipohonriau/188
189,MT1055,Medang,Litsea angulata,Pohon Muda,icon/young_tree.svg,-,32,17,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6751025,101.4281189,56.81748797,1.62,Belum,-,-,-,8/27/2021 6:03,"50,000.00","1,088.74",-,Krisnawati et al. (2012),media/1630051423727.jpg,media/1630051489517.jpg,media/1630051471071.jpg,media/1630051412087.jpg,adopsipohonriau/189
190,MT1056,Rambutan,Nephelium lappaceum,Pohon Muda,icon/young_tree.svg,Least Concern,33,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6751043,101.4282806,41.9074629,1.63,Belum,-,-,-,8/27/2021 7:05,"50,000.00","1,771.80",-,Krisnawati et al. (2012),media/1630051570241.jpg,media/1630051640701.jpg,media/1630051613766.jpg,media/1630051600059.jpg,adopsipohonriau/190
191,MT1057,Siluk,Gironniera parvifolia,Pohon Muda,icon/young_tree.svg,-,31,16,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6750325,101.4282686,32.03300942,1.63,Belum,-,-,-,8/27/2021 8:08,"50,000.00","1,206.14",-,Brown (1997),media/1630051780093.jpg,media/1630051769873.jpg,media/1630051757332.jpg,media/1630051730950.jpg,adopsipohonriau/191
192,MT1080,Pudu,Artocarpus kemando,Pohon Muda,icon/young_tree.svg,-,39,16,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6747546,101.4282282,12.0040302,1.63,Belum,-,-,-,9/2/2021 4:17,"50,000.00","1,452.24",-,Krisnawati et al. (2012),media/1630552892682.jpg,media/1630552849278.jpg,media/1630552746551.jpg,media/1630553042031.jpg,adopsipohonriau/192
193,MT1081,Pagar-pagar,Ixonanthes icosandra,Pohon Dewasa,icon/mature_tree.svg,-,102,22,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.67469,101.4285719,57.44947313,1.59,Belum,-,-,-,9/2/2021 5:17,"200,000.00","17,745.40",-,Krisnawati et al. (2012),media/1630553865481.jpg,media/1630553838873.jpg,media/1630553814827.jpg,media/1630553881196.jpg,adopsipohonriau/193
194,MR1090,Medang,Litsea angulata,Pohon Dewasa,icon/mature_tree.svg,-,43,16,Tahura Sultan Syarif Qasim,Mineral,Minastahura,0.6744763,101.4289254,31.86206083,1.58,Belum,-,-,-,9/2/2021 6:37,"200,000.00","1,826.87",-,Krisnawati et al. (2012),media/1630557623667.jpg,media/1630557607744.jpg,media/1630557563996.jpg,media/1630557644187.jpg,adopsipohonriau/194
195,MT1087,Terap,Artocarpus elasticus,Pohon Dewasa,icon/mature_tree.svg,-,40,16,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6733183,101.4305435,39.4459434,1.59,Belum,-,-,-,9/2/2021 8:40,"200,000.00","1,449.55",-,Krisnawati et al. (2012),media/1630556177528.jpg,media/1630556142336.jpg,media/1630556118130.jpg,media/1630556200093.jpg,adopsipohonriau/195
196,MT1088,Sendok-Sendok,Endospermus malaccanse,Pohon Dewasa,icon/mature_tree.svg,-,64,20,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6744737,101.4289114,74.27574782,1.59,Belum,-,-,-,9/2/2021 8:17,"200,000.00","7,548.95",-,Brown (1997),media/1630556481748.jpg,media/1630556468812.jpg,media/1630556451540.jpg,media/1630556497361.jpg,adopsipohonriau/196
197,MT1084,Sendok-Sendok,Endospermus malaccanse,Pohon Muda,icon/young_tree.svg,-,30,18,Tahura Sultan Syarif Qasim,Mineral,TAHURA SSH KM1,0.6746055,101.4285189,75.60426158,1.55,Belum,-,-,-,9/2/2021 10:12,"50,000.00","1,110.12",-,Brown (1997),media/1630554908082.jpg,media/1630554887500.jpg,media/1630554868703.jpg,media/1630554932907.jpg,adopsipohonriau/197
198,MT1086,Sendok-Sendok,Endospermus malaccanse,Pohon Dewasa,icon/mature_tree.svg,-,47,17,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6743915,101.4285557,68.28343856,1.59,Belum,-,-,-,9/2/2021 11:22,"200,000.00","3,456.68",-,Brown (1997),media/1630555544133.jpg,media/1630555519503.jpg,media/1630555497965.jpg,media/1630555570239.jpg,adopsipohonriau/198
199,MT1083,Sendok-Sendok,Endospermus malaccanse,Pohon Dewasa,icon/mature_tree.svg,-,45,15,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6745296,101.4287766,68.39036638,1.57,Belum,-,-,-,9/2/2021 11:55,"200,000.00","3,096.56",-,Brown (1997),media/1630554621836.jpg,media/1630554605736.jpg,media/1630554591795.jpg,media/1630554640669.jpg,adopsipohonriau/199
200,MT1089,Sendok-Sendok,Endospermus malaccanse,Pohon Dewasa,icon/mature_tree.svg,-,51,17,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6739657,101.429287,58.00091666,1.63,Belum,-,-,-,9/2/2021 12:17,"200,000.00","4,250.15",-,Brown (1997),media/1630557254166.jpg,media/1630557240798.jpg,media/1630557170104.jpg,media/1630557279526.jpg,adopsipohonriau/200
201,MT1082,Keranji,Diallium indum,Pohon Dewasa,icon/mature_tree.svg,-,50,15,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6746777,101.4286011,39.8382837,1.59,Belum,-,-,-,9/2/2021 2:05,"200,000.00","4,042.46",-,Brown (1997),media/1630554247940.jpg,media/1630554231074.jpg,media/1630554182138.jpg,media/1630554270875.jpg,adopsipohonriau/201
202,MT1085,Rambutan,Nephelium lappaceum,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6745204,101.4285864,67.17240826,1.23,Belum,-,-,-,9/2/2021 2:17,"200,000.00","2,579.26",-,Krisnawati et al. (2012),media/1630555341563.jpg,media/1630555325898.jpg,media/1630555268473.jpg,media/1630555362912.jpg,adopsipohonriau/202
203,MT1058,Belayang,Aglaia spectabilis ,Pohon Dewasa,icon/mature_tree.svg,-,42,30, ,Mineral,Kompos,0.6739415,101.4309248,92.0352097,1.58,Belum,-,-,-,9/2/2021 3:50,"200,000.00","2,600.59",-,Brown (1997),media/1630553301515.jpg,media/1630553144836.jpg,media/1630553112439.jpg,media/1630553491584.jpg,adopsipohonriau/203
204,MT1105,Balam,Palaquium sp.,Pohon Muda,icon/young_tree.svg,-,33,22,Tahura Sultan Syarif Qasim,Mineral,GH,0.6750635,101.4295373,82.85096111,1.55,Belum,-,-,-,9/2/2021 5:30,"50,000.00","1,588.68",-,Krisnawati et al. (2012),media/1630554308510.jpg,media/1630554268802.jpg,media/1630554242942.jpg,media/1630554324911.jpg,adopsipohonriau/204
205,MT1059,Mendarahan,Knema glauca,Pohon Dewasa,icon/mature_tree.svg,-,44,25, ,Mineral,Kompos,0.6740027,101.4310104,93.11611766,1.64,Belum,-,-,-,9/2/2021 5:17,"200,000.00","2,790.91",-,Krisnawati et al. (2012),media/1630554299569.jpg,media/1630554229643.jpg,media/1630554192847.jpg,media/1630554420951.jpg,adopsipohonriau/205
206,MT1060,Tembesu,Fragaea fragrans,Pohon Dewasa,icon/mature_tree.svg,-,45,15,Tahura Sultan Syarif Qasim,Mineral,Kompos,0.673128,101.4308889,66.841646,1.63,Belum,-,-,-,9/2/2021 6:17,"200,000.00","3,096.56",-,Brown (1997),media/1630555187846.jpg,media/1630555114664.jpg,media/1630555092385.jpg,media/1630555210690.jpg,adopsipohonriau/206
207,MT1104,Sendok-Sendok,Endospermus malaccanse,Pohon Dewasa,icon/mature_tree.svg,-,41,20,Tahura Sultan Syarif Qasim,Mineral,GH,0.6748438,101.4294902,83.05625771,1.64,Belum,-,-,-,9/2/2021 7:43,"200,000.00","2,446.78",-,Brown (1997),media/1630553979069.jpg,media/1630553948758.jpg,media/1630553921409.jpg,media/1630554050481.jpg,adopsipohonriau/207
